wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
10.16	1.886	0.523	0.038	0.114
10.18	1.900	0.486	0.038	0.107
10.20	1.905	0.445	0.039	0.097
10.22	1.904	0.407	0.039	0.088
10.24	1.896	0.371	0.039	0.079
10.26	1.885	0.340	0.036	0.071
10.28	1.871	0.312	0.035	0.064
10.30	1.856	0.288	0.032	0.056
10.32	1.837	0.267	0.029	0.050
10.34	1.821	0.251	0.026	0.045
10.36	1.802	0.237	0.023	0.042
10.38	1.788	0.227	0.021	0.039
10.40	1.771	0.216	0.019	0.037
10.42	1.758	0.212	0.017	0.035
10.44	1.746	0.202	0.018	0.034
10.46	1.730	0.198	0.016	0.034
10.48	1.720	0.196	0.017	0.033
10.50	1.710	0.191	0.017	0.032
10.52	1.698	0.189	0.018	0.032
10.54	1.690	0.189	0.019	0.032
10.56	1.683	0.185	0.019	0.032
10.58	1.673	0.184	0.019	0.031
10.60	1.665	0.184	0.021	0.032
10.62	1.659	0.184	0.021	0.031
10.64	1.652	0.183	0.022	0.031
10.66	1.647	0.185	0.023	0.031
10.68	1.643	0.185	0.024	0.032
10.70	1.639	0.185	0.024	0.032
10.72	1.635	0.185	0.025	0.032
10.74	1.631	0.185	0.025	0.032
10.76	1.626	0.186	0.025	0.033
10.78	1.624	0.188	0.025	0.033
10.80	1.622	0.189	0.025	0.033
10.82	1.621	0.190	0.025	0.033
10.84	1.619	0.191	0.026	0.033
10.86	1.619	0.193	0.026	0.033
10.88	1.620	0.193	0.026	0.033
10.90	1.621	0.193	0.027	0.033
10.92	1.622	0.193	0.027	0.033
10.94	1.624	0.192	0.026	0.033
10.96	1.626	0.191	0.026	0.033
10.98	1.629	0.188	0.026	0.033
11.00	1.629	0.184	0.026	0.033
11.02	1.632	0.182	0.026	0.032
11.04	1.633	0.176	0.026	0.032
11.06	1.634	0.173	0.025	0.031
11.08	1.636	0.166	0.025	0.031
11.10	1.634	0.160	0.026	0.030
11.12	1.632	0.153	0.025	0.030
11.14	1.628	0.150	0.025	0.029
11.16	1.626	0.146	0.025	0.027
11.18	1.622	0.143	0.026	0.027
11.20	1.620	0.141	0.026	0.026
11.22	1.619	0.138	0.027	0.026
11.24	1.616	0.134	0.026	0.025
11.26	1.613	0.131	0.027	0.025
11.28	1.610	0.129	0.027	0.024
11.30	1.609	0.128	0.028	0.024
11.32	1.606	0.124	0.029	0.024
11.34	1.603	0.124	0.029	0.023
11.36	1.601	0.122	0.029	0.023
11.38	1.599	0.122	0.030	0.022
11.40	1.600	0.120	0.030	0.022
11.42	1.599	0.118	0.031	0.021
11.44	1.598	0.115	0.031	0.022
11.46	1.597	0.112	0.032	0.021
11.48	1.594	0.110	0.032	0.021
11.50	1.594	0.110	0.033	0.020
11.52	1.595	0.105	0.033	0.020
11.54	1.592	0.103	0.034	0.020
11.56	1.593	0.100	0.033	0.020
11.58	1.591	0.095	0.034	0.020
11.60	1.589	0.090	0.034	0.020
11.62	1.585	0.085	0.035	0.020
11.64	1.579	0.080	0.034	0.020
11.66	1.570	0.080	0.035	0.019
11.68	1.567	0.085	0.036	0.019
11.70	1.570	0.085	0.035	0.018
11.72	1.568	0.080	0.036	0.018
11.74	1.564	0.080	0.037	0.017
11.76	1.564	0.078	0.037	0.017
11.78	1.560	0.076	0.037	0.017
11.80	1.558	0.075	0.038	0.016
11.82	1.555	0.074	0.038	0.016
11.84	1.554	0.073	0.039	0.015
11.86	1.551	0.072	0.040	0.015
11.88	1.550	0.070	0.041	0.015
11.90	1.547	0.068	0.042	0.015
11.92	1.545	0.067	0.042	0.015
11.94	1.542	0.066	0.043	0.015
11.96	1.543	0.065	0.043	0.015
11.98	1.539	0.059	0.044	0.015
12.00	1.533	0.059	0.045	0.014
12.02	1.530	0.059	0.046	0.015
12.04	1.527	0.059	0.046	0.015
12.06	1.524	0.058	0.046	0.015
12.08	1.521	0.058	0.047	0.015
12.10	1.518	0.058	0.048	0.015
12.12	1.516	0.058	0.048	0.015
12.14	1.514	0.057	0.049	0.015
12.16	1.509	0.056	0.049	0.015
12.18	1.507	0.057	0.050	0.015
12.20	1.504	0.056	0.050	0.015
12.22	1.501	0.057	0.051	0.015
12.24	1.497	0.056	0.051	0.015
12.26	1.494	0.058	0.052	0.014
12.28	1.490	0.056	0.053	0.015
12.30	1.484	0.061	0.054	0.014
