wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
9.66	1.510	0.178	0.006	0.025
9.68	1.517	0.175	0.006	0.024
9.70	1.520	0.170	0.006	0.023
9.72	1.525	0.166	0.005	0.022
9.74	1.529	0.161	0.006	0.021
9.76	1.531	0.157	0.006	0.021
9.78	1.533	0.153	0.006	0.020
9.80	1.535	0.149	0.006	0.020
9.82	1.537	0.145	0.006	0.019
9.84	1.539	0.140	0.006	0.018
9.86	1.539	0.137	0.007	0.018
9.88	1.540	0.135	0.007	0.018
9.90	1.540	0.132	0.007	0.017
9.92	1.541	0.130	0.007	0.017
9.94	1.542	0.127	0.007	0.017
9.96	1.543	0.126	0.007	0.017
9.98	1.545	0.124	0.007	0.017
10.00	1.546	0.122	0.007	0.017
10.02	1.548	0.121	0.007	0.017
10.04	1.550	0.118	0.007	0.017
10.06	1.552	0.116	0.006	0.017
10.08	1.554	0.113	0.006	0.017
10.10	1.556	0.111	0.006	0.017
10.12	1.559	0.108	0.006	0.016
10.14	1.560	0.104	0.006	0.015
10.16	1.562	0.100	0.006	0.015
10.18	1.563	0.095	0.005	0.014
10.20	1.563	0.092	0.006	0.013
10.22	1.564	0.088	0.005	0.013
10.24	1.564	0.084	0.005	0.012
10.26	1.563	0.080	0.005	0.011
10.28	1.562	0.076	0.005	0.011
10.30	1.559	0.073	0.005	0.010
10.32	1.560	0.072	0.005	0.010
10.34	1.560	0.067	0.005	0.010
10.36	1.557	0.064	0.005	0.009
10.38	1.556	0.063	0.006	0.009
10.40	1.555	0.060	0.006	0.009
10.42	1.554	0.058	0.006	0.009
10.44	1.552	0.056	0.006	0.008
10.46	1.551	0.054	0.006	0.008
10.48	1.550	0.052	0.006	0.008
10.50	1.548	0.050	0.006	0.008
10.52	1.546	0.049	0.007	0.008
10.54	1.545	0.048	0.007	0.008
10.56	1.544	0.047	0.007	0.008
10.58	1.543	0.046	0.007	0.008
10.60	1.542	0.045	0.007	0.008
10.62	1.541	0.044	0.008	0.008
10.64	1.540	0.043	0.008	0.009
10.66	1.540	0.042	0.008	0.009
10.68	1.539	0.040	0.008	0.009
10.70	1.538	0.038	0.008	0.009
10.72	1.536	0.037	0.008	0.009
10.74	1.534	0.036	0.008	0.009
10.76	1.533	0.035	0.008	0.009
10.78	1.531	0.034	0.008	0.009
10.80	1.530	0.034	0.008	0.009
10.82	1.528	0.034	0.008	0.009
10.84	1.527	0.033	0.008	0.009
10.86	1.526	0.033	0.008	0.009
10.88	1.526	0.033	0.008	0.009
10.90	1.525	0.032	0.009	0.010
10.92	1.523	0.032	0.008	0.010
10.94	1.522	0.032	0.008	0.009
10.96	1.522	0.032	0.008	0.009
10.98	1.522	0.032	0.008	0.010
11.00	1.521	0.031	0.008	0.009
11.02	1.520	0.030	0.008	0.010
11.04	1.519	0.031	0.008	0.010
11.06	1.519	0.030	0.008	0.010
11.08	1.517	0.030	0.008	0.010
11.10	1.518	0.030	0.009	0.010
11.12	1.517	0.029	0.008	0.010
11.14	1.516	0.029	0.009	0.010
11.16	1.515	0.029	0.008	0.010
11.18	1.515	0.029	0.009	0.010
11.20	1.513	0.029	0.009	0.010
11.22	1.513	0.029	0.009	0.010
11.24	1.513	0.029	0.008	0.010
11.26	1.512	0.029	0.009	0.010
11.28	1.511	0.029	0.008	0.010
11.30	1.511	0.029	0.009	0.010
11.32	1.511	0.028	0.008	0.010
11.34	1.510	0.028	0.009	0.010
11.36	1.509	0.028	0.009	0.010
11.38	1.508	0.029	0.009	0.010
11.40	1.509	0.029	0.009	0.010
11.42	1.509	0.028	0.009	0.010
11.44	1.507	0.029	0.009	0.010
11.46	1.507	0.029	0.009	0.010
11.48	1.508	0.029	0.009	0.010
11.50	1.507	0.029	0.009	0.011
11.52	1.507	0.029	0.009	0.011
11.54	1.507	0.028	0.009	0.011
11.56	1.507	0.029	0.008	0.011
11.58	1.507	0.028	0.009	0.011
11.60	1.506	0.027	0.008	0.011
11.62	1.506	0.027	0.009	0.011
11.64	1.506	0.027	0.008	0.011
11.66	1.505	0.027	0.009	0.011
11.68	1.505	0.027	0.008	0.011
11.70	1.505	0.026	0.009	0.011
11.72	1.504	0.026	0.009	0.011
11.74	1.504	0.026	0.009	0.011
11.76	1.504	0.026	0.008	0.011
11.78	1.503	0.025	0.009	0.011
11.80	1.503	0.025	0.008	0.011
11.82	1.502	0.025	0.009	0.011
11.84	1.501	0.025	0.008	0.011
11.86	1.501	0.024	0.008	0.011
11.88	1.500	0.025	0.008	0.011
11.90	1.500	0.025	0.009	0.011
11.92	1.499	0.025	0.009	0.011
11.94	1.499	0.025	0.009	0.011
11.96	1.499	0.025	0.009	0.011
11.98	1.498	0.025	0.009	0.011
12.00	1.498	0.025	0.009	0.011
12.02	1.497	0.026	0.009	0.011
12.04	1.497	0.026	0.009	0.011
12.06	1.496	0.026	0.009	0.012
12.08	1.497	0.026	0.008	0.012
12.10	1.496	0.026	0.008	0.012
