wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
10.84	1.520	0.071	0.027	0.028
10.86	1.519	0.073	0.026	0.029
10.88	1.520	0.076	0.026	0.029
10.90	1.522	0.078	0.025	0.029
10.92	1.524	0.078	0.025	0.029
10.94	1.524	0.079	0.025	0.030
10.96	1.527	0.080	0.024	0.030
10.98	1.529	0.079	0.023	0.030
11.00	1.531	0.077	0.023	0.030
11.02	1.532	0.076	0.022	0.030
11.04	1.534	0.073	0.022	0.029
11.06	1.534	0.070	0.021	0.029
11.08	1.535	0.066	0.022	0.028
11.10	1.533	0.062	0.022	0.028
11.12	1.532	0.059	0.022	0.027
11.14	1.528	0.055	0.022	0.026
11.16	1.524	0.053	0.023	0.026
11.18	1.520	0.051	0.023	0.026
11.20	1.515	0.049	0.024	0.026
11.22	1.507	0.049	0.025	0.026
11.24	1.500	0.051	0.026	0.026
11.26	1.493	0.056	0.028	0.027
11.28	1.488	0.064	0.029	0.028
11.30	1.485	0.073	0.029	0.030
11.32	1.485	0.083	0.029	0.032
11.34	1.488	0.093	0.028	0.034
11.36	1.495	0.101	0.027	0.036
11.38	1.502	0.107	0.026	0.037
11.40	1.511	0.111	0.024	0.038
11.42	1.520	0.114	0.022	0.039
11.44	1.531	0.114	0.020	0.039
11.46	1.542	0.112	0.018	0.039
11.48	1.553	0.106	0.016	0.038
11.50	1.560	0.098	0.014	0.020
11.52	1.566	0.088	0.013	0.020
11.54	1.567	0.078	0.012	0.021
11.56	1.568	0.069	0.012	0.015
11.58	1.565	0.060	0.012	0.014
11.60	1.561	0.054	0.012	0.009
11.62	1.558	0.050	0.013	0.012
11.64	1.555	0.046	0.013	0.012
11.66	1.551	0.044	0.014	0.012
11.68	1.549	0.042	0.014	0.007
11.70	1.546	0.040	0.014	0.012
11.72	1.545	0.039	0.014	0.008
11.74	1.543	0.036	0.015	0.012
11.76	1.539	0.035	0.015	0.012
11.78	1.537	0.035	0.015	0.010
11.80	1.537	0.034	0.015	0.011
11.82	1.535	0.032	0.015	0.012
11.84	1.533	0.031	0.015	0.012
11.86	1.531	0.031	0.016	0.012
11.88	1.530	0.030	0.016	0.012
11.90	1.529	0.030	0.015	0.012
11.92	1.528	0.029	0.016	0.009
11.94	1.527	0.028	0.016	0.012
11.96	1.526	0.027	0.016	0.012
11.98	1.524	0.026	0.016	0.012
12.00	1.523	0.026	0.016	0.007
12.02	1.522	0.026	0.016	0.012
12.04	1.522	0.025	0.016	0.008
12.06	1.520	0.024	0.016	0.012
12.08	1.519	0.024	0.016	0.012
12.10	1.518	0.024	0.016	0.010
12.12	1.517	0.023	0.016	0.011
12.14	1.516	0.023	0.016	0.012
12.16	1.516	0.022	0.016	0.012
12.18	1.514	0.022	0.016	0.012
12.20	1.514	0.021	0.016	0.007
12.22	1.513	0.020	0.016	0.012
12.24	1.512	0.020	0.016	0.008
12.26	1.511	0.019	0.016	0.012
12.28	1.510	0.018	0.016	0.012
12.30	1.508	0.018	0.017	0.010
12.32	1.507	0.017	0.017	0.011
12.34	1.504	0.018	0.017	0.012
12.36	1.504	0.018	0.017	0.012
12.38	1.502	0.018	0.018	0.009
12.40	1.501	0.019	0.018	0.012
12.42	1.499	0.020	0.018	0.012
12.44	1.500	0.021	0.019	0.012
12.46	1.499	0.021	0.019	0.007
12.48	1.499	0.023	0.019	0.012
12.50	1.499	0.023	0.019	0.008
12.52	1.499	0.024	0.019	0.012
12.54	1.500	0.024	0.019	0.012
12.56	1.501	0.024	0.019	0.010
12.58	1.501	0.023	0.019	0.011
12.60	1.501	0.023	0.019	0.012
12.62	1.502	0.022	0.019	0.012
12.64	1.501	0.022	0.019	0.012
12.66	1.502	0.022	0.019	0.012
12.68	1.501	0.021	0.019	0.012
12.70	1.502	0.021	0.019	0.008
12.72	1.502	0.020	0.019	0.012
12.74	1.502	0.020	0.019	0.009
12.76	1.503	0.019	0.019	0.012
12.78	1.503	0.018	0.019	0.012
12.80	1.503	0.017	0.019	0.012
12.82	1.503	0.016	0.019	0.007
12.84	1.503	0.014	0.019	0.012
12.86	1.502	0.014	0.019	0.008
12.88	1.503	0.012	0.019	0.012
12.90	1.502	0.010	0.019	0.012
12.92	1.501	0.009	0.020	0.010
12.94	1.500	0.008	0.020	0.009
12.96	1.499	0.006	0.020	0.002
12.98	1.497	0.005	0.021	0.003
13.00	1.496	0.004	0.021	0.002
13.02	1.494	0.004	0.022	0.003
13.04	1.493	0.004	0.022	0.001
13.06	1.492	0.004	0.022	0.001
13.08	1.491	0.003	0.023	0.001
13.10	1.489	0.003	0.023	0.001
13.12	1.489	0.003	0.024	0.001
13.14	1.487	0.003	0.024	0.001
13.16	1.488	0.003	0.024	0.001
13.18	1.486	0.002	0.024	0.001
13.20	1.485	0.003	0.025	0.001
13.22	1.484	0.003	0.025	0.001
13.24	1.484	0.003	0.025	0.001
13.26	1.484	0.002	0.025	0.001
13.28	1.483	0.002	0.026	0.001
13.30	1.482	0.002	0.026	0.001
13.32	1.482	0.001	0.026	0.001
13.34	1.480	0.001	0.027	0.001
13.36	1.480	0.001	0.027	0.001
13.38	1.478	0.001	0.027	0.001
13.40	1.478	0.001	0.027	0.001
13.42	1.477	0.001	0.028	0.001
13.44	1.477	0.001	0.028	0.001
13.46	1.476	0.001	0.028	0.001
13.48	1.475	0.001	0.029	0.001
13.50	1.474	0.001	0.029	0.001
13.52	1.474	0.001	0.029	0.001
13.54	1.473	0.001	0.030	0.001
